Wavelength,SSI
350.48,1450.3761499482216
350.481,1454.6940815495898
350.48199999999997,1458.9560957074357
350.483,1463.1586957083
350.48400000000004,1467.298214998355
350.485,1471.3706473430373
350.486,1475.3714370242392
350.48699999999997,1479.295269037503
350.488,1483.1359591953099
350.48900000000003,1486.8862742961037
350.49,1490.5378122369718
350.491,1494.080932079376
350.49199999999996,1497.5046441524435
350.493,1500.796620043577
350.494,1503.9431226641857
350.495,1506.9290162402954
350.496,1509.7378462374259
350.497,1512.3518193793736
350.498,1514.7519435167492
350.499,1516.9181175424649
350.5,1518.8292312978351
350.501,1520.4633354129444
350.502,1521.7977911657954
350.50300000000004,1522.8094603038955
350.504,1523.4748948658466
350.505,1523.7705769559814
350.506,1523.67312854717
350.507,1523.1595612460699
350.50800000000004,1522.2075560301982
350.509,1520.7957030225743
350.51,1518.9037812287913
350.51099999999997,1516.5130482647073
350.512,1513.606550065348
350.51300000000003,1510.1693606595468
350.514,1506.1889018694592
350.515,1501.655173094591
350.51599999999996,1496.5610810019243
350.517,1490.902589385066
350.51800000000003,1484.679038863764
350.519,1477.893246790005
350.52,1470.551717050824
350.521,1462.664690021353
350.522,1454.246302414577
350.523,1445.3144673940192
350.524,1435.8909544986177
350.525,1426.0011698493076
350.526,1415.674036261704
350.52700000000004,1404.9417234996342
350.528,1393.8393385662318
350.529,1382.4045460607601
350.53,1370.6771385823881
350.531,1358.6984772560368
350.53200000000004,1346.5110321643247
350.533,1334.1576929954838
350.534,1321.6812295504296
350.53499999999997,1309.1235924000657
350.536,1296.5253034580826
350.53700000000003,1283.9248465537546
350.538,1271.3580080516872
350.539,1258.8573473494935
350.53999999999996,1246.4517373097383
350.541,1234.1658547388363
350.54200000000003,1222.0198706781437
350.543,1210.0292006387115
350.544,1198.2043047890888
350.545,1186.5506779647123
350.546,1175.0688396772957
350.547,1163.754543917638
350.548,1152.599018930261
350.549,1141.5892869129254
350.55,1130.7086435659037
350.55100000000004,1119.9371776036978
350.552,1109.2523402197983
350.553,1098.629604466939
350.554,1088.0431446185696
350.555,1077.4665554927658
350.55600000000004,1066.8735517949224
350.557,1056.2387274041032
350.558,1045.5381847814656
350.55899999999997,1034.75027427539
350.56,1023.8561635862446
350.56100000000004,1012.8404172217582
350.562,1001.6915060181249
350.563,990.4022167550075
350.56399999999996,978.9699718550563
350.565,967.3971490834236
350.56600000000003,955.6912014350831
350.567,943.8647470503188
350.568,931.935599186554
350.569,919.9266663122535
350.57,907.8657622853351
350.571,895.7854065409721
350.572,883.722484410857
350.573,871.7179074424661
350.574,859.816143840394
350.57500000000005,848.0647688889098
350.576,836.5139454402423
350.577,825.2158644404268
350.578,814.2241854551518
350.579,803.5933772895062
350.58000000000004,793.3782184574854
350.581,783.63304788625
350.582,774.4112853668511
350.58299999999997,765.7647122303188
350.584,757.742971817168
350.58500000000004,750.3929500595856
350.586,743.7582459791064
350.587,737.8786821467291
350.58799999999997,732.7898051524221
350.589,728.5225059619474
350.59000000000003,725.1025903206361
350.591,722.550509006921
350.592,720.8810780952608
350.59299999999996,720.1032891345512
350.594,720.2201592889775
350.595,721.2286913755739
350.596,723.1198738642252
350.597,725.8788007649839
350.598,729.4847515529501
350.599,733.9115008771777
350.6,739.1275783165312
350.601,745.0966080604219
350.602,751.7777984486926
350.603,759.1263116241824
350.60400000000004,767.0939029317606
350.605,775.6293904769898
350.606,784.6792445721103
350.60699999999997,794.1882171444619
350.608,804.0999511636877
350.60900000000004,814.3575201346672
350.61,824.9040774871588
350.611,835.6833660969043
350.61199999999997,846.640287750392
350.613,857.7213427316916
350.61400000000003,868.8750893905092
350.615,880.0525537571918
350.616,891.2075092798054
350.61699999999996,902.2967865330398
350.618,913.2804930116272
350.619,924.1221529988801
350.62,934.7888374446202
350.621,945.2511939370072
350.622,955.4834766743696
350.623,965.4634865215445
350.624,975.1725210568285
350.625,984.5952546846593
350.626,993.7196087576866
350.627,1002.5365717457951
350.62800000000004,1011.0400293957351
350.629,1019.2266148719764
350.63,1027.0954090384091
350.631,1034.6478605334664
350.632,1041.887446089388
350.63300000000004,1048.8195906073418
350.634,1055.4513774297345
350.635,1061.7913784998477
